scores	parameters
-4.802150129648316	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.0001
-4.88843111748466	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.001
-4.902975521832417	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.001
-5.141508433707483	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.001
-5.214849292519444	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.001
-5.319105060794671	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.0001
-5.684131933748422	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.001
-6.205516711858263	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.0001
-6.248464928082347	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.001
-6.302957724363663	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.0001
